id,tanggal,roti_sisa,dropping,roti_id_id,toko_id_id
6908,12/9/2021,0,0,BBP,78105
6960,12/13/2021,0,0,BBP,78105
7012,12/16/2021,0,0,BBP,78105
7064,12/20/2021,0,0,BBP,78105
7116,12/23/2021,0,0,BBP,78105
7168,12/27/2021,0,0,BBP,78105
7220,12/30/2021,0,0,BBP,78105
7272,1/3/2022,0,0,BBP,78105
7324,1/6/2022,0,0,BBP,78105
7376,1/10/2022,0,0,BBP,78105
7428,1/13/2022,0,0,BBP,78105
7480,1/17/2022,0,0,BBP,78105
7532,1/20/2022,0,0,BBP,78105
7584,1/24/2022,0,0,BBP,78105
7636,1/27/2022,0,0,BBP,78105
7688,1/31/2022,0,0,BBP,78105
7740,2/3/2022,0,0,BBP,78105
7792,2/7/2022,0,0,BBP,78105
7844,2/10/2022,0,0,BBP,78105
7896,2/14/2022,0,0,BBP,78105
7948,2/17/2022,0,0,BBP,78105
8000,2/21/2022,0,0,BBP,78105
8052,2/24/2022,0,0,BBP,78105
8104,2/28/2022,0,0,BBP,78105
8156,3/3/2022,0,0,BBP,78105
45,9/3/2020,0,0,BBPN,78105
97,9/7/2020,0,0,BBPN,78105
149,9/10/2020,0,0,BBPN,78105
201,9/14/2020,0,0,BBPN,78105
253,9/17/2020,0,0,BBPN,78105
305,9/21/2020,0,0,BBPN,78105
357,9/24/2020,0,0,BBPN,78105
409,9/28/2020,0,0,BBPN,78105
461,10/1/2020,0,0,BBPN,78105
513,10/5/2020,0,0,BBPN,78105
565,10/8/2020,0,0,BBPN,78105
617,10/12/2020,0,0,BBPN,78105
669,10/15/2020,0,0,BBPN,78105
721,10/19/2020,0,0,BBPN,78105
773,10/22/2020,0,0,BBPN,78105
825,10/26/2020,0,0,BBPN,78105
877,10/29/2020,0,0,BBPN,78105
929,11/2/2020,0,0,BBPN,78105
981,11/5/2020,0,0,BBPN,78105
1033,11/9/2020,0,0,BBPN,78105
1085,11/12/2020,0,0,BBPN,78105
1137,11/16/2020,0,0,BBPN,78105
1189,11/19/2020,0,0,BBPN,78105
1241,11/23/2020,0,0,BBPN,78105
1293,11/26/2020,0,0,BBPN,78105
1345,11/30/2020,0,0,BBPN,78105
1397,12/3/2020,0,0,BBPN,78105
1449,12/7/2020,0,0,BBPN,78105
1501,12/10/2020,0,0,BBPN,78105
1553,12/14/2020,0,0,BBPN,78105
1605,12/17/2020,0,0,BBPN,78105
1657,12/21/2020,0,0,BBPN,78105
1709,12/24/2020,0,0,BBPN,78105
1761,12/28/2020,0,0,BBPN,78105
1813,12/31/2020,0,0,BBPN,78105
1865,1/4/2021,0,0,BBPN,78105
1917,1/7/2021,0,0,BBPN,78105
1969,1/11/2021,0,0,BBPN,78105
2021,1/14/2021,0,0,BBPN,78105
2073,1/18/2021,0,0,BBPN,78105
2125,1/21/2021,0,0,BBPN,78105
2177,1/25/2021,0,0,BBPN,78105
2229,1/28/2021,0,0,BBPN,78105
2281,2/1/2021,0,0,BBPN,78105
2333,2/4/2021,0,0,BBPN,78105
2385,2/8/2021,0,0,BBPN,78105
2437,2/11/2021,0,0,BBPN,78105
2489,2/15/2021,0,0,BBPN,78105
2541,2/18/2021,0,0,BBPN,78105
2593,2/22/2021,0,0,BBPN,78105
2645,2/25/2021,0,0,BBPN,78105
2697,3/1/2021,0,0,BBPN,78105
2749,3/4/2021,0,0,BBPN,78105
2801,3/8/2021,0,0,BBPN,78105
2853,3/11/2021,0,0,BBPN,78105
2905,3/15/2021,0,0,BBPN,78105
2957,3/18/2021,0,0,BBPN,78105
3009,3/22/2021,0,0,BBPN,78105
3061,3/25/2021,0,0,BBPN,78105
3113,3/29/2021,0,0,BBPN,78105
3165,4/1/2021,0,0,BBPN,78105
3217,4/5/2021,0,0,BBPN,78105
3269,4/8/2021,0,0,BBPN,78105
3321,4/12/2021,0,0,BBPN,78105
3373,4/15/2021,0,0,BBPN,78105
3425,4/19/2021,0,0,BBPN,78105
3477,4/22/2021,0,0,BBPN,78105
3529,4/26/2021,0,0,BBPN,78105
3581,4/29/2021,0,0,BBPN,78105
3633,5/3/2021,0,0,BBPN,78105
3685,5/6/2021,0,0,BBPN,78105
3737,5/10/2021,0,0,BBPN,78105
3789,5/13/2021,0,0,BBPN,78105
3841,5/17/2021,0,0,BBPN,78105
3893,5/20/2021,0,0,BBPN,78105
3945,5/24/2021,0,0,BBPN,78105
3997,5/27/2021,0,0,BBPN,78105
4049,5/31/2021,0,0,BBPN,78105
4101,6/3/2021,0,0,BBPN,78105
4153,6/7/2021,0,0,BBPN,78105
4205,6/10/2021,0,0,BBPN,78105
4257,6/14/2021,0,0,BBPN,78105
4309,6/17/2021,0,0,BBPN,78105
4361,6/21/2021,0,0,BBPN,78105
4413,6/24/2021,0,0,BBPN,78105
4465,6/28/2021,0,0,BBPN,78105
4517,7/1/2021,0,0,BBPN,78105
4569,7/5/2021,0,0,BBPN,78105
4621,7/8/2021,0,0,BBPN,78105
4673,7/12/2021,0,0,BBPN,78105
4725,7/15/2021,0,0,BBPN,78105
4777,7/19/2021,0,0,BBPN,78105
4829,7/22/2021,0,0,BBPN,78105
4881,7/26/2021,0,0,BBPN,78105
4933,7/29/2021,0,0,BBPN,78105
4985,8/2/2021,0,0,BBPN,78105
5037,8/5/2021,0,0,BBPN,78105
5089,8/9/2021,0,0,BBPN,78105
5141,8/12/2021,0,0,BBPN,78105
5193,8/16/2021,0,0,BBPN,78105
5245,8/19/2021,0,0,BBPN,78105
5297,8/23/2021,0,0,BBPN,78105
5349,8/26/2021,0,0,BBPN,78105
5401,8/30/2021,0,0,BBPN,78105
5453,9/2/2021,0,0,BBPN,78105
5505,9/6/2021,0,0,BBPN,78105
5557,9/9/2021,0,0,BBPN,78105
5609,9/13/2021,0,0,BBPN,78105
5661,9/16/2021,0,0,BBPN,78105
5713,9/20/2021,0,0,BBPN,78105
5765,9/23/2021,0,0,BBPN,78105
5817,9/27/2021,0,0,BBPN,78105
5869,9/30/2021,0,0,BBPN,78105
5921,10/4/2021,0,0,BBPN,78105
5973,10/7/2021,0,0,BBPN,78105
6025,10/11/2021,0,0,BBPN,78105
6077,10/14/2021,0,0,BBPN,78105
6129,10/18/2021,0,0,BBPN,78105
6181,10/21/2021,0,0,BBPN,78105
6233,10/25/2021,0,0,BBPN,78105
